file_id,meta,left,node,right,freq,ttr,entropy,section
W_JPN_PTJ_A2_0_041,JPN,>>,I agree with,the statement . I think,381,0.01,0.059,top
W_JPN_SMK_B1_1_063,JPN,restaurants in the country .,I agree with,this idea . There are,381,0.01,0.059,top
W_JPN_PTJ_B1_1_078,JPN,>>,I agree with,this opinion . There are,381,0.01,0.059,top
W_JPN_PTJ_A2_0_113,JPN,>>,I agree with,the statement that college students,381,0.01,0.059,top
W_JPN_PTJ_B1_2_27,JPN,>>,I agree with,this opinion . There are,381,0.01,0.059,top
W_JPN_PTJ_B1_1_068,JPN,>>,I agree with,the idea that it is,381,0.01,0.059,top
W_JPN_PTJ_B1_1_030,JPN,>>,I agree with,this statement . I have,381,0.01,0.059,top
W_JPN_SMK_B2_0_18,JPN,>>,I agree with,this idea that smoking should,381,0.01,0.059,top
W_JPN_PTJ_B1_1_046,JPN,>>,I agree with,this following statement . Actually,381,0.01,0.059,top
W_JPN_SMK_B1_1_019,JPN,>>,I agree with,this statement that smoking should,381,0.01,0.059,top
W_ENS_SMK_XX3_08,ENS,is for the best and,I agree with,any similar bans being implemented,381,0.01,0.059,top
W_JPN_SMK_B1_1_079,JPN,>>,I agree with,this opinion . At first,381,0.01,0.059,top
W_JPN_SMK_B1_2_05,JPN,restaurants in the country but,I agree with,that it should be in,381,0.01,0.059,top
W_JPN_PTJ_A2_0_138,JPN,>>,I agree with,that idea . Of course,381,0.01,0.059,top
W_JPN_PTJ_B1_1_096,JPN,>>,I agree with,the idea that college students,381,0.01,0.059,top
W_JPN_PTJ_B1_1_020,JPN,>>,I agree with,this opinion . Because I,381,0.01,0.059,top
W_ENS_SMK_XX1_086,ENS,>>,I agree with,this opinion . I have,381,0.01,0.059,top
W_JPN_SMK_A2_0_154,JPN,These are the reason why,I agree with,the opinion that smoking should,381,0.01,0.059,top
W_JPN_SMK_B1_2_32,JPN,>>,I agree with,this statement . In Japan,381,0.01,0.059,top
W_JPN_SMK_A2_0_099,JPN,"restaurants in the country ,",I agree with,this idea . I also,381,0.01,0.059,top
W_JPN_PTJ_B1_1_019,JPN,for Japanese college students ?,I agree with,to have a part time,381,0.01,0.059,top
W_ENS_PTJ_XX1_072,ENS,>>,I agree with,the topic that it is,381,0.01,0.059,top
W_JPN_PTJ_B1_1_177,JPN,>>,I agree with,the statement . But I,381,0.01,0.059,top
W_JPN_SMK_B1_1_154,JPN,like smoking people . So,I agree with,the opinion . I think,381,0.01,0.059,top
W_JPN_SMK_A2_0_018,JPN,>>,I agree with,this statement . Because I,381,0.01,0.059,top
W_JPN_SMK_B1_1_046,JPN,>>,I agree with,this idea that smoking should,381,0.01,0.059,top
W_JPN_SMK_B1_1_004,JPN,>>,I agree with,this statement . In these,381,0.01,0.059,top
W_JPN_SMK_B2_0_01,JPN,>>,I agree with,this . Because smoking is,381,0.01,0.059,top
W_JPN_PTJ_B1_1_089,JPN,>>,I agree with,this opinion . There are,381,0.01,0.059,top
W_JPN_SMK_B1_1_007,JPN,"Yes ,",I agree with,the statement . Because I,381,0.01,0.059,top
W_JPN_SMK_B1_2_33,JPN,seat of smoking section .,I agree with,this plan . A restaurant,381,0.01,0.059,top
W_JPN_PTJ_B1_1_053,JPN,>>,I agree with,this statement . I have,381,0.01,0.059,top
W_JPN_SMK_A2_0_139,JPN,>>,I agree with,this statement . I have,381,0.01,0.059,top
W_JPN_SMK_B1_1_068,JPN,>>,I agree with,the idea that smoking should,381,0.01,0.059,top
W_JPN_SMK_B2_0_09,JPN,>>,I agree with,the statement because of the,381,0.01,0.059,top
W_JPN_SMK_B1_2_11,JPN,>>,I agree with,this idea . Today in,381,0.01,0.059,top
W_JPN_PTJ_B1_1_151,JPN,>>,I agree with,the statement that it is,381,0.01,0.059,top
W_ENS_PTJ_XX1_064,ENS,>>,I agree with,the statement that part time,381,0.01,0.059,top
W_JPN_PTJ_B1_2_22,JPN,>>,I agree with,the opinion that it is,381,0.01,0.059,top
W_JPN_PTJ_B1_2_04,JPN,>>,I agree with,the statement that it is,381,0.01,0.059,top
W_JPN_PTJ_B2_0_05,JPN,>>,I agree with,the statement . There are,381,0.01,0.059,top
W_JPN_PTJ_B1_1_025,JPN,>>,I agree with,the statement . There are,381,0.01,0.059,top
W_JPN_SMK_A2_0_022,JPN,>>,I agree with,the statement . Because I,381,0.01,0.059,top
W_JPN_PTJ_B1_1_046,JPN,has to think so .,I agree with,having a part time job,381,0.01,0.059,top
W_ENS_PTJ_XX1_063,ENS,>>,I agree with,the idea that many college,381,0.01,0.059,top
W_JPN_SMK_A2_0_017,JPN,>>,I agree with,"this opinion , because smoking",381,0.01,0.059,top
W_JPN_PTJ_B1_1_118,JPN,"need moneys . Therefore ,",I agree with,that it is important for,381,0.01,0.059,top
